ticker,shares_outstanding
AVY,77295394.0
CCL-A.TO,11743323.0
CCL-B.TO,161490764.0
UPM.HE,527324046.0
HUH1V.HE,104968310.0
AMCR,461671988.0
BALL,267987212.0
CCK,115347894.0
SW,522186327.0
MNDI.L,440536840.0
MMK.VI,19523035.0
SON,98633013.0
GPK,295123112.0
PKG,89977067.0
IP,528038317.0
AMBP,597699586.0
7864.T,53304866.0
7912.T,449250507.0
7911.T,282536820.0
6287.T,32465137.0
